"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","V1","worksheets/1","0","0","2","0","0"
"","V1","teams/1000/members","0","0","1","0","0"
"","V1","quizSurveys/1/nextQuestion","0","0","1","0","0"
"","V1","userTopicProgress","0","0","1","0","0"
"","V1","videos/{{video_id}}","0","0","3","0","0"
"","V1","faqs/{{faq_id}}","0","0","3","0","0"
"","V1","students/login","0","0","3","0","0"
"","V1","mentors/5","0","0","3","0","0"
"","V1","quiz/1/nextQuestion","0","0","1","0","0"
"","V1","mentors/updatePassword","0","0","1","0","0"
"","V1","evaluaters/logout","0","0","1","0","0"
"","V1","auth/dynamicSignupForm","0","0","2","0","0"
"","V1","quiz","0","0","1","0","0"
"","V1","evaluaters/{{evaluater_id}}","0","0","3","0","0"
"","V1","mentors/changePassword","0","0","1","0","0"
"","V1","faqCategories/{{faq_category_id}}","0","0","3","0","0"
"","V1","mentors/logout","0","0","1","0","0"
"","V1","students/changePassword","0","0","4","0","0"
"","V1","quizSurveys/1/responses","0","0","1","0","0"
"","V1","mentorCourses/","0","0","2","0","0"
"","V1","organizations/{{organization_id}}","0","0","3","0","0"
"","V1","notifications/tome","0","0","1","0","0"
"","V1","courses/{{course_id}}","0","0","3","0","0"
"","V1","worksheets","0","0","2","0","0"
"","V1","students","0","0","1","0","0"
"","V1","courseTopics/{{course_topic_id}}","0","0","3","0","0"
"","V1","admins/changePassword","0","0","4","0","0"
"","V1","mentors/validateOtp","0","0","1","0","0"
"","V1","reflectiveQuiz/1/nextQuestion","0","0","1","0","0"
"","V1","teams/:id","0","0","1","0","0"
"","V1","mentorCourses/1","0","0","3","0","0"
"","V1","admins/login","0","0","3","0","0"
"","V1","quizSurveys/1","0","0","1","0","0"
"","V1","students/logout","0","0","1","0","0"
"","V1","videos","0","0","2","0","0"
"","V1","students/10","0","0","2","0","0"
"","V1","mentorCourses/withFile","0","0","1","0","0"
"","V1","evaluaters/login","0","0","1","0","0"
"","V1","mentors/verifyUser","0","0","1","0","0"
"","V1","admins/logout","0","0","1","0","0"
"","V1","faqCategories","0","0","2","0","0"
"","V1","teams","0","0","2","0","0"
"","V1","faqs","1","0","1","0","0"
"","V1","students/2","0","0","1","0","0"
"","V1","evaluaters/register","0","0","1","0","0"
"","V1","organizations","0","0","3","0","0"
"","V1","teams/{{team_id}}","0","0","2","0","0"
"","V1","quiz/1","0","0","1","0","0"
"","V1","reflectiveQuiz/1/response","0","0","1","0","0"
"","V1","crud/organization/bulkupload","0","0","1","0","0"
"","V1","mentors/register","0","0","1","0","0"
"","V1","admins/register","0","0","2","0","0"
"","V1","organizations/checkOrg","0","0","2","0","0"
"","V1","teams/{{team_id}}/members","0","0","1","0","0"
"","V1","quiz/{{quiz_id}}","0","0","1","0","0"
"","V1","students/register","0","0","1","0","0"
"","V1","courses/withFile","0","0","1","0","0"
"","V1","courseModules","1","0","1","0","0"
"","V1","courseModules/{{course_module_id}}","1","0","2","0","0"
"","V1","notifications/sendwithposter","0","0","1","0","0"
"","V1","mentorTopicProgress","0","0","1","0","0"
"","V1","evaluaters","0","0","1","0","0"
"","V1","quizSurveys/1/response","0","0","1","0","0"
"","V1","courseTopics","0","0","2","0","0"
"","V1","worksheets/1000","0","0","1","0","0"
"","V1","courses/","0","0","1","0","0"
"","V1","notifications/send","0","0","1","0","0"
"","V1","quizSurveys","0","0","1","0","0"
"","V1","mentors/updateMobile","0","0","1","0","0"
"","V1","evaluaters/changePassword","0","0","1","0","0"
"","V1","quiz/1/response","0","0","1","0","0"
"","V1","worksheets/1/response","0","0","1","0","0"
"","V1","mentors","0","0","1","0","0"
"","V1","mentors/login","1","0","0","0","0"
